Name in English,Countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude
South Italian,Italy,nap,Vulnerable,7500000,40.9798,15.249
Sicilian,Italy,scn,Vulnerable,5000000,37.4399,14.5019
Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,4800000,53.4029,10.3601
Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",bel,Vulnerable,4000000,53.956,27.5756
Lombard,"Italy, Switzerland",lmo,Definitely endangered,3500000,45.7215,9.3273
Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,3500000,46.3165,22.3681
Yiddish (Israel),Israel,ydd,Definitely endangered,3000000,32.0833,34.8333
Gondi,India,gon,Vulnerable,2713790,19.5804,80.4418
Limburgian-Ripuarian,"Germany, Belgium, Netherlands","ksh, lim",Vulnerable,2600000,50.7781,6.0864
Quechua of Southern Bolivia,Bolivia (Plurinational State of),quh,Vulnerable,2300000,-18.0675,-65.7641
Kumaoni,"India, Nepal",kfy,Vulnerable,2003783,29.4778,79.8486
Aymara,"Bolivia (Plurinational State of), Chile, Peru","ayc, ayr",Vulnerable,2000000,-16.5835,-68.302
Emilian-Romagnol,"Italy, San Marino",eml,Definitely endangered,2000000,44.127,12.0739
Piedmontese,Italy,pms,Definitely endangered,2000000,45.2013,7.8662
Venetan,"Croatia, Italy, Slovenia",vec,Vulnerable,2000000,45.4601,12.1948
Zazaki,Turkey,zza,Vulnerable,2000000,38.8824,40.4846
Kurux (India),India,kru,Vulnerable,1751489,22.1467,85.2758
Tamajeq,Niger,thz,Vulnerable,1750000,17.2352,8.0859
Tulu,India,tcy,Vulnerable,1722768,12.0178,75.7067
Kangdi,India,xnr,Definitely endangered,1700000,32.4356,76.1242
Scots,United Kingdom of Great Britain and Northern Ireland,sco,Vulnerable,1500000,56.2189,-3.7683
Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","bos, hrv, srp",Vulnerable,1500000,42.9644,22.1374
West Flemish,"Belgium, France, Netherlands","vls, zea",Vulnerable,1500000,51.0275,3.0541
Bashkir,Russian Federation,bak,Vulnerable,1379727,54.7309,55.9863
Chechen,Russian Federation,che,Vulnerable,1331844,43.1971,45.7031
Chuvash,Russian Federation,chv,Vulnerable,1325382,56.1394,47.2412
Meithei,India,mni,Vulnerable,1250000,24.7667,93.8946
Tamang,"India, Nepal","taj, tge, tmk, tsf, tdg",Vulnerable,1196639,27.7365,85.6858
Quechua of Cuzco,Peru,quz,Vulnerable,1115000,-13.4537,-72.0098
Eastern Slovak,"Slovakia, Ukraine",slk,Vulnerable,1000000,48.8068,21.7968
Ligurian,"France, Italy, Monaco",lij,Definitely endangered,1000000,44.5748,8.7011
Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine",rue,Vulnerable,1000000,48.4437,22.9394
Talysh,"Azerbaijan, Iran (Islamic Republic of)",tly,Vulnerable,1000000,38.814,48.6804
Kui,India,kxu,Vulnerable,916222,19.5908,83.9575
Khasi,India,kha,Vulnerable,912000,25.691,91.8676
Bodo,India,brx,Vulnerable,900000,26.7554,92.8674
Campidanese,Italy,sro,Definitely endangered,900000,39.2991,8.9868
K'iche' (Guatemala),Guatemala,quc,Vulnerable,890596,15.0309,-91.1485
Quechua of Ayacucho,Peru,quy,Definitely endangered,850000,-13.1276,-74.2071
Newar,Nepal,new,Definitely endangered,825458,27.6981,85.3198
Mon,"Myanmar, Thailand",mnw,Vulnerable,800000,16.4666,97.7833
Polesian,"Belarus, Poland, Ukraine",None,Vulnerable,800000,51.8629,23.9501
Tamaceq,Mali,taq,Definitely endangered,800000,16.7992,-3.0102
Avar,Russian Federation,ava,Vulnerable,784840,42.4801,46.8017
Mundari,India,muw,Vulnerable,750000,22.3297,86.0449
Welsh,United Kingdom of Great Britain and Northern Ireland,cym,Vulnerable,750000,52.4459,-3.5485
Angika,"India, Nepal",anp,Vulnerable,740892,24.7451,85.3124
Q'eqchi' (Guatemala),Guatemala,kek,Vulnerable,716101,15.4707,-90.3722
Picard,"Belgium, France",pcd,Severely endangered,700000,50.2331,2.7905
Kokborok,"Bangladesh, India",trp,Vulnerable,695000,23.7752,91.6918
Basque,"Spain, France",eus,Vulnerable,660000,43.133,-2.0764
Kabard-Cherkes,"Russian Federation, Turkey",kbd,Vulnerable,650000,43.7393,43.4289
Mandeali,India,mjl,Definitely endangered,611930,31.4099,76.9921
Friulian,Italy,fur,Definitely endangered,600000,46.1037,13.1396
Quechua of Ancash and Huánuco,Peru,"qec, qed, qee, qan, qei, qub, qej, qel, qem",Definitely endangered,600000,-9.4598,-77.1789
Walloon,"Belgium, France, Luxembourg",wln,Definitely endangered,600000,50.4575,4.8559
Mising,India,mrg,Definitely endangered,550000,26.9612,94.0539
Ossete,"Georgia, Russian Federation",oss,Vulnerable,550000,42.9564,44.4946
Mizo,India,lus,Vulnerable,529000,22.9988,92.9223
Dargwa,Russian Federation,dar,Vulnerable,503523,42.1145,47.4938
